ip,time_window,request_count,error_4xx_rate,error_5xx_rate,avg_payload_bytes,max_payload_bytes,unique_uri_count,suspicious_flag_count,Label,Anomaly_Score,Sample_URI
172.104.154.208,2019-01-22 05:59:00,2,0.5,0.0,298438.0,564416,2,0,-1,-0.08742136539138656,/product/31850/62048/\xDB\x8C\xD8\xAE\xDA\x86\xD8\xA7\xD9\x84-\xD9\x81\xD8\xB1\xDB\x8C\xD8\xB2\xD8\xB1-\xD9\x81\xD8\xB1\xDB\x8C\xD8\xB2\xD8\xB1-\xD8\xA8\xD8\xA7\xD9\x84\xD8\xA7-\xD8\xA7\xD9\x84-\xD8\xAC\xDB\x8C-\xD9\x85\xD8\xAF\xD9\x84-TF660TS
172.104.154.208,2019-01-22 07:07:00,2,0.5,0.0,296916.0,561367,2,0,-1,-0.08742136539138656,/product/32374/62714/%D8%AA%D9%84%D9%88%DB%8C%D8%B2%DB%8C%D9%88%D9%86-%D8%A7%D9%84-%D8%A7%DB%8C-%D8%AF%DB%8C-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-55MU10000
172.104.154.208,2019-01-22 07:28:00,2,0.5,0.0,286910.5,541278,2,0,-1,-0.08638733677752197,/product/32784/63244/\xD9\x85\xD8\xA7\xD8\xB4\xDB\x8C\xD9\x86-\xD8\xB8\xD8\xB1\xD9\x81\xD8\xB4\xD9\x88\xDB\x8C\xDB\x8C-\xD8\xB1\xD9\x88\xD9\x85\xDB\x8C\xD8\xB2\xDB\x8C-\xD8\xB3\xD8\xA7\xD9\x85-\xD9\x85\xD8\xAF\xD9\x84-T1305S
194.94.127.7,2019-01-22 07:38:00,268,0.0,0.0,5521.444029850746,185207,186,0,-1,-0.08563719010937232,/static/images/exists.png
2.188.26.231,2019-01-22 07:52:00,213,0.0046948356807511,0.0,6381.906103286385,185207,202,0,-1,-0.08005654334700785,/image/218/brand
37.46.114.33,2019-01-22 07:28:00,217,0.0,0.0,9901.391705069123,185207,191,0,-1,-0.07847505992021808,/static/images/third-party/footer.png
81.90.144.56,2019-01-22 07:42:00,208,0.0048076923076923,0.0,6452.634615384615,185207,170,0,-1,-0.07698848745735654,/image/9993/productModel/100x100
34.252.98.184,2019-01-22 04:47:00,2,0.5,0.0,243809.0,487440,1,0,-1,-0.07663353728842037,/ads.txt
54.91.182.97,2019-01-22 06:29:00,2,0.5,0.0,243809.0,487440,1,0,-1,-0.07663353728842037,/ads.txt
66.249.66.194,2019-01-22 07:39:00,58,0.1724137931034483,0.0,21927.310344827587,35287,55,1,-1,-0.07479447391344518,/m/filter/b220%2Cb3%2Cb55%2Cb67%2Cb74%2Cp11
194.94.127.7,2019-01-22 04:35:00,239,0.0,0.0,11433.372384937238,185207,164,0,-1,-0.07424497630178406,/static/images/search-category-arrow.png
66.249.66.194,2019-01-22 08:00:00,68,0.1176470588235294,0.0,22148.20588235294,42558,63,1,-1,-0.07265670848391692,"/m/filter/b99,p1"
23.101.169.3,2019-01-22 06:16:00,210,0.0,0.0,6815.333333333333,185207,154,0,-1,-0.07088961406717031,/image/64268/productModel/100x100
66.249.66.194,2019-01-22 06:37:00,54,0.2037037037037037,0.0,25067.185185185182,42340,52,1,-1,-0.0675747689139573,"/m/filter/b103,b105,b113,b118,b136,b143,b148,b151,b168,b180,b185,b188,b192,b193,b2,b20,b203,b209,b238,b249,b256,b258,b261,b270,b35,b42,b43,b435,b440,b441,b454,b484,b485,b497,b50,b523,b542,b543,b546,b548,b568,b584,b596,b6,b613,b619,b63,b648,b679,b703,b723,b724,b734,b74,b795,b82,b854,b861,b874,b877,b878,b879,b880,b883,b900,b901,b903,b904,b95,b99"
2.176.249.79,2019-01-22 07:25:00,229,0.0043668122270742,0.0,6858.013100436681,97044,217,0,-1,-0.06739313724367979,/image/409/productModel/150x150
84.241.32.18,2019-01-22 07:38:00,168,0.0,0.0,7914.892857142857,185207,165,0,-1,-0.06738425080965527,/image/573/brand
46.100.248.130,2019-01-22 07:51:00,176,0.0,0.0,10648.585227272728,185207,173,0,-1,-0.06723501201833815,/
5.202.3.56,2019-01-22 07:32:00,168,0.0,0.0,7377.089285714285,185207,165,0,-1,-0.06688061385269561,/image/61734/productModel/150x150
99.246.134.169,2019-01-22 07:53:00,183,0.0163934426229508,0.0,5776.775956284153,92964,164,0,-1,-0.06515026396235313,/site/searchAutoComplete
5.237.115.31,2019-01-22 07:35:00,240,0.0,0.0,6977.508333333333,92391,223,0,-1,-0.06477419966984421,/image/194/brand
66.249.66.194,2019-01-22 07:29:00,61,0.1147540983606557,0.0,22824.819672131147,42992,57,1,-1,-0.06458249653182369,/m/product/28687/%D9%81%D8%B1-%D8%AA%D9%88%DA%A9%D8%A7%D8%B1-%D8%A8%DB%8C%D9%85%DA%A9%D8%AB-%D9%85%D8%AF%D9%84-Bimax-MF0010E%26G
46.4.203.149,2019-01-22 04:24:00,1,0.0,0.0,567299.0,567299,1,0,-1,-0.06352840649251712,/product/29470/58904/%D8%AA%D8%B4%DA%A9-%D8%AF%D9%88-%D9%86%D9%81%D8%B1%D9%87-%D8%B1%D9%88%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-%D8%A7%D9%88%D9%84%D8%AA%D8%B1%D8%A7-2-%D8%B3%D8%A7%DB%8C%D8%B2-180*200
46.4.203.149,2019-01-22 07:18:00,1,0.0,0.0,572103.0,572103,1,0,-1,-0.06352840649251712,/product/15679/30623/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%DA%A9%D8%A7%D8%B1%D9%85%D9%86%D8%AF%DB%8C-%D8%B3%DB%8C%D9%84%D8%A7-%D9%85%D8%AF%D9%84-K11
46.4.203.149,2019-01-22 04:20:00,1,0.0,0.0,561901.0,561901,1,0,-1,-0.06352840649251712,/product/28349/57172/%D8%A7%D8%AC%D8%A7%D9%82-%DA%AF%D8%A7%D8%B2-%D8%B5%D9%81%D8%AD%D9%87-%D8%A7%DB%8C-%D8%A7%D8%AE%D9%88%D8%A7%D9%86-%D9%85%D8%AF%D9%84-G-37
46.4.203.149,2019-01-22 04:40:00,1,0.0,0.0,557643.0,557643,1,0,-1,-0.06352840649251712,/product/3560/2209/%DA%86%D8%B1%D8%AE-%D8%AE%DB%8C%D8%A7%D8%B7%DB%8C-%DA%A9%D8%A7%DA%86%DB%8C%D8%B1%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%DB%8C%D8%A7%D8%B3%D9%85%DB%8C%D9%86592%2B
46.4.203.149,2019-01-22 04:28:00,1,0.0,0.0,569016.0,569016,1,0,-1,-0.06352840649251712,/product/4118/200/%D8%B3%DB%8C%D9%86%DA%A9-%D8%B8%D8%B1%D9%81%D8%B4%D9%88%DB%8C%DB%8C-%D8%AA%D9%88%DA%A9%D8%A7%D8%B1-%D8%A7%D8%B3%D8%AA%DB%8C%D9%84-%D8%A7%D9%84%D8%A8%D8%B1%D8%B2-%D9%85%D8%AF%D9%84-%D9%BE%D8%B1%D9%88%D8%A7%D9%86%D9%87-618
46.4.203.149,2019-01-22 06:26:00,1,0.0,0.0,571874.0,571874,1,0,-1,-0.06352840649251712,/product/18383/55855/%D8%A8%D8%B4%D9%82%D8%A7%D8%A8-%D9%85%DB%8C%D9%86%D8%A7%DA%A9%D8%A7%D8%B1%DB%8C-%D9%87%D9%86%D8%B1-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-%D9%85%D8%AF%D9%84-%D8%B7%D8%B1%D8%AD-6
46.4.203.149,2019-01-22 04:02:00,1,0.0,0.0,584470.0,584470,1,0,-1,-0.06352840649251712,/product/11913/18817/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D9%85%D8%AF%DB%8C%D8%B1%DB%8C%D8%AA%DB%8C-%D9%86%DB%8C%D9%84%D9%BE%D8%B1-%D9%85%D8%AF%D9%84-SM809E
216.244.66.248,2019-01-22 07:30:00,1,0.0,0.0,567814.0,567814,1,0,-1,-0.06352840649251712,/product/28699
216.244.66.248,2019-01-22 07:31:00,1,0.0,0.0,569299.0,569299,1,0,-1,-0.06352840649251712,/product/24548/51399/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%A8%D8%A7%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Hermes
220.181.108.161,2019-01-22 05:12:00,1,0.0,0.0,558268.0,558268,1,0,-1,-0.06352840649251712,/product/10561/%DA%AF%D9%88%D8%B4%DB%8C-%D8%AA%D9%84%D9%81%D9%86-%D8%A8%DB%8C-%D8%B3%DB%8C%D9%85-%DA%AF%DB%8C%DA%AF%D8%A7%D8%B3%D8%AA-%D9%85%D8%AF%D9%84-Gigaset-Cordless-Telephone-C530A
46.4.203.149,2019-01-22 07:22:00,1,0.0,0.0,562429.0,562429,1,0,-1,-0.06352840649251712,/product/28952/58046/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%D8%A8%D8%A7%D8%B1-%D9%86%DB%8C%D9%84%D9%BE%D8%B1-%D9%85%D8%AF%D9%84-SD415X
31.47.54.211,2019-01-22 07:20:00,163,0.0,0.0,8505.9754601227,185207,160,0,-1,-0.060863474400607354,/image/186/brand
46.4.203.149,2019-01-22 04:33:00,2,0.0,0.0,562813.5,576442,2,0,-1,-0.05977157373580899,/product/11967/19097/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%DA%A9%D9%86%D9%81%D8%B1%D8%A7%D9%86%D8%B3%DB%8C-%D8%A7%D9%86%D8%AA%D8%B8%D8%A7%D8%B1-%D9%86%DB%8C%D9%84%D9%BE%D8%B1-%D9%85%D8%AF%D9%84-SC515X
46.4.203.149,2019-01-22 04:23:00,2,0.0,0.0,566173.5,568021,2,0,-1,-0.05977157373580899,/product/29035/58229/%D8%B5%D9%86%D8%AF%D9%84%DB%8C-%DA%A9%D9%86%D9%81%D8%B1%D8%A7%D9%86%D8%B3%DB%8C-%D8%A7%D9%86%D8%AA%D8%B8%D8%A7%D8%B1-%D8%B3%DB%8C%D9%84%D8%A7-%D9%85%D8%AF%D9%84-C17
46.4.203.149,2019-01-22 04:41:00,2,0.0,0.0,559730.0,572160,2,0,-1,-0.05977157373580899,/product/29512/58943/%D8%AA%D8%B4%DA%A9-%DB%8C%DA%A9-%D9%86%D9%81%D8%B1%D9%87-%D8%B1%D9%88%DB%8C%D8%A7-%D9%85%D8%AF%D9%84-%D8%A8%D9%88%D9%86%D9%84-2-%D8%B3%D8%A7%DB%8C%D8%B2-100*200
2.186.116.224,2019-01-22 07:43:00,137,0.0145985401459854,0.0,6915.467153284671,185207,118,0,-1,-0.05883941800290937,/image/62720/productModel/150x150
78.157.58.7,2019-01-22 08:01:00,163,0.0,0.0,11964.552147239265,185207,157,0,-1,-0.05872106101121155,/image/114/brand
194.94.127.7,2019-01-22 05:21:00,170,0.0,0.0,12854.935294117648,185207,113,0,-1,-0.05872106101121155,/image/60797/productModel/100x100
31.47.38.22,2019-01-22 07:53:00,187,0.0,0.0,5747.122994652406,94174,175,0,-1,-0.05864905069625337,/image/1539/productModel/100x100
