IP,total_requests,requests_per_minute,unique_url_count,avg_url_length,avg_response_bytes,total_response_bytes,status_4xx_ratio,status_5xx_ratio,error_ratio_4xx_5xx,suspicious_uri_count,suspicious_uri_ratio,avg_request_interval_sec,min_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST
66.249.66.194,9331,38.01588918313302,6674,110.04876219054763,22232.54731540028,207451899,0.062158396742042654,0.0002143392991104919,0.06237273604115315,34,0.0036437680848783625,1.5778135048231512,0.0,1.0,0.0,0.0,0.0
66.249.66.91,5957,24.26970869830923,2208,251.302501259023,29365.573275138493,174930720,0.0005036091992613732,0.0005036091992613732,0.0010072183985227463,2,0.00033573946617424877,2.471457353928811,0.0,1.0,0.0,0.0,0.0
23.101.169.3,2863,11.664290079445916,723,29.829549423681453,7132.269647223193,20419688,0.0,0.0,0.0,0,0.0,4.446890286512928,0.0,1.0,0.0,0.0,0.0
91.99.72.15,2393,9.749439804440824,2276,124.54157960718763,41574.103635603846,99486830,0.0025073129962390303,0.0,0.0025073129962390303,2,0.0008357709987463436,6.135869565217392,0.0,1.0,0.0,0.0,0.0
40.77.167.170,2292,9.337950702790792,1995,47.5911867364747,35424.46771378708,81192880,0.007853403141361256,0.0004363001745200698,0.008289703315881327,17,0.007417102966841187,5.736796158882584,0.0,1.0,0.0,0.0,0.0
207.46.13.9,1915,7.801996333265431,1664,50.72793733681462,34583.18328981723,66226796,0.009921671018276762,0.0005221932114882506,0.010443864229765013,14,0.007310704960835509,5.757575757575758,0.0,1.0,0.0,0.0,0.0
40.77.167.13,1741,7.093094316561418,1516,49.44859276278001,35031.37851809305,60989630,0.009764503159103963,0.0,0.009764503159103963,11,0.006318207926479035,5.470114942528736,0.0,1.0,0.0,0.0,0.0
5.237.18.117,1114,4.538602566714198,809,31.48294434470377,8097.350089766607,9020448,0.06373429084380611,0.0,0.06373429084380611,0,0.0,3.794249775381851,0.0,0.9991023339317774,0.0,0.0,0.0008976660682226212
207.46.13.136,882,3.5933998777755147,797,48.08730158730159,36358.401360544216,32068110,0.011337868480725623,0.0,0.011337868480725623,2,0.0022675736961451248,5.8774120317820655,0.0,1.0,0.0,0.0,0.0
157.55.39.220,842,3.430433896924017,724,50.02256532066508,35238.51187648456,29670827,0.0059382422802850355,0.0,0.0059382422802850355,2,0.0023752969121140144,5.3234244946492275,0.0,1.0,0.0,0.0,0.0
17.58.102.43,815,3.320431859849257,601,80.49570552147239,27071.60245398773,22063356,0.013496932515337423,0.0,0.013496932515337423,0,0.0,18.05896805896806,0.0,1.0,0.0,0.0,0.0
157.55.39.245,780,3.1778366266041966,657,50.01794871794872,34231.14615384615,26700294,0.016666666666666666,0.0,0.016666666666666666,3,0.0038461538461538464,8.706033376123235,0.0,1.0,0.0,0.0,0.0
194.94.127.7,721,2.937461804848238,408,30.918169209431344,10410.754507628293,7506154,0.0,0.0,0.0,0,0.0,17.184722222222224,0.0,1.0,0.0,0.0,0.0
195.181.169.141,699,2.8478305153799144,167,31.829756795422032,2642.2846924177397,1846957,0.01430615164520744,0.0,0.01430615164520744,0,0.0,3.3810888252148996,0.0,0.7796852646638054,0.0,0.0,0.22031473533619456
130.185.74.243,660,2.6889386840497047,334,65.10909090909091,30807.354545454546,20332854,0.0,0.0,0.0,0,0.0,2.1062215477996964,0.0,1.0,0.0,0.0,0.0
40.77.167.15,645,2.6278264412303933,557,49.84186046511628,33460.01550387597,21581710,0.010852713178294573,0.0,0.010852713178294573,1,0.0015503875968992248,6.170807453416149,0.0,1.0,0.0,0.0,0.0
77.237.187.102,632,2.5748624974536565,534,29.367088607594937,6515.2594936708865,4117644,0.004746835443037975,0.0,0.004746835443037975,0,0.0,2.954041204437401,0.0,0.9825949367088608,0.0,0.0,0.01740506329113924
34.228.233.60,573,2.334487675697698,459,29.141361256544503,11300.575916230366,6475230,0.0,0.0,0.0,0,0.0,1.4877622377622377,0.0,1.0,0.0,0.0,0.0
5.113.58.234,517,2.106335302505602,425,34.176015473887816,11482.353965183753,5936377,0.0038684719535783366,0.0,0.0038684719535783366,0,0.0,3.1763565891472867,0.0,0.9961315280464217,0.0,0.0,0.0038684719535783366
5.160.157.20,491,2.0004074149521287,85,11.20366598778004,178.0,87398,0.0,0.0,0.0,0,0.0,29.897959183673468,0.0,1.0,0.0,0.0,0.0
81.90.144.56,488,1.9881849663882665,261,25.37295081967213,7055.4098360655735,3443040,0.006147540983606557,0.0,0.006147540983606557,0,0.0,0.6242299794661191,0.0,1.0,0.0,0.0,0.0
172.20.2.174,483,1.9678142187818295,50,12.451345755693582,4028.3105590062114,1945674,0.004140786749482402,0.0,0.004140786749482402,0,0.0,30.45850622406639,0.0,1.0,0.0,0.0,0.0
5.211.97.39,474,1.9311468730902426,355,38.664556962025316,9367.533755274262,4440211,0.15611814345991562,0.0,0.15611814345991562,0,0.0,2.773784355179704,0.0,0.8438818565400844,0.15611814345991562,0.0,0.0
46.100.248.130,473,1.927072723568955,440,28.898520084566595,8713.651162790698,4121557,0.010570824524312896,0.0,0.010570824524312896,0,0.0,0.3686440677966102,0.0,0.9978858350951374,0.0,0.0,0.0021141649048625794
134.19.177.21,404,1.6459564066001222,279,32.272277227722775,10999.284653465347,4443711,0.04702970297029703,0.0,0.04702970297029703,0,0.0,4.84863523573201,0.0,0.9653465346534653,0.0,0.0024752475247524753,0.03217821782178218
2.188.26.231,389,1.5848441637808108,343,24.904884318766065,8621.820051413883,3353888,0.002570694087403599,0.0,0.002570694087403599,0,0.0,1.3788659793814433,0.0,0.9974293059125964,0.0,0.0,0.002570694087403599
71.255.86.79,381,1.5522509676105114,289,30.879265091863516,8792.853018372703,3350077,0.0,0.0,0.0,0,0.0,0.7289473684210527,0.0,0.9501312335958005,0.0,0.0,0.049868766404199474
37.46.114.33,379,1.5441026685679364,278,27.36411609498681,11316.67018469657,4289018,0.0,0.0,0.0,0,0.0,0.7116402116402116,0.0,0.9815303430079155,0.0,0.0,0.018469656992084433
91.208.165.222,378,1.5400285190466492,274,29.40740740740741,5245.55291005291,1982819,0.021164021164021163,0.0,0.021164021164021163,0,0.0,3.193633952254642,0.0,0.9867724867724867,0.0,0.0,0.013227513227513227
93.110.220.181,370,1.5074353228763497,320,31.667567567567566,7836.618918918919,2899549,0.0,0.0,0.0,0,0.0,0.7398373983739838,0.0,0.9783783783783784,0.0,0.0,0.021621621621621623
2.176.249.79,369,1.5033611733550623,339,28.067750677506776,6035.273712737127,2227016,0.0027100271002710027,0.0,0.0027100271002710027,0,0.0,0.7554347826086957,0.0,0.983739837398374,0.0,0.0,0.016260162601626018
84.241.32.18,344,1.4015074353228765,301,25.767441860465116,7298.072674418605,2510537,0.0,0.0,0.0,0,0.0,1.9766763848396502,0.0,0.9941860465116279,0.0,0.0,0.005813953488372093
