IP,total_requests,requests_per_minute,unique_url_count,avg_url_length,avg_response_bytes,total_response_bytes,status_4xx_ratio,status_5xx_ratio,error_ratio_4xx_5xx,suspicious_uri_count,suspicious_uri_ratio,avg_request_interval_sec,min_request_interval_sec,method_ratio_GET,method_ratio_HEAD,method_ratio_OTHER,method_ratio_POST,label_reason,weak_label
5.218.77.244,52,0.2118557751069464,35,28.365384615384617,10021.51923076923,521119,0.0,0.0,0.0,0,0.0,1.03921568627451,0.0,1.0,0.0,0.0,0.0,none,Normal
194.5.176.130,12,0.0488897942554491,12,40.0,37206.333333333336,446476,0.0,0.0,0.0,0,0.0,27.454545454545453,7.0,1.0,0.0,0.0,0.0,none,Normal
5.219.251.137,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
77.81.42.8,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.160.80.227,1,0.0040741495212874,1,12.0,6004.0,6004,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
34.247.132.53,247,1.0063149317579956,1,1.0,29950.542510121457,7397784,0.0080971659919028,0.0,0.0080971659919028,0,0.0,59.7520325203252,6.0,1.0,0.0,0.0,0.0,R2_high_request_rate,Anomaly
2.186.20.241,45,0.1833367284579344,41,27.444444444444443,10329.377777777778,464822,0.0,0.0,0.0,0,0.0,6.068181818181818,0.0,1.0,0.0,0.0,0.0,none,Normal
80.210.234.56,1,0.0040741495212874,1,22.0,133.0,133,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
194.225.168.0,2,0.0081482990425748,2,33.0,4134.0,8268,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.113.176.27,1,0.0040741495212874,1,12.0,5852.0,5852,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
172.80.234.30,1,0.0040741495212874,1,12.0,9139.0,9139,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.232.206.146,1,0.0040741495212874,1,12.0,4167.0,4167,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.127.85.230,1,0.0040741495212874,1,22.0,133.0,133,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
10.116.12.43,37,0.1507435322876349,36,36.43243243243244,13934.918918918918,515592,0.0,0.0,0.0,0,0.0,0.1944444444444444,0.0,1.0,0.0,0.0,0.0,none,Normal
5.124.237.36,42,0.1711142798940721,36,38.92857142857143,11027.59523809524,463159,0.0,0.0,0.0,0,0.0,4.390243902439025,0.0,1.0,0.0,0.0,0.0,none,Normal
5.126.2.134,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,24.0,24.0,1.0,0.0,0.0,0.0,none,Normal
94.74.159.187,62,0.2525972703198207,47,26.70967741935484,20430.67741935484,1266702,0.0,0.0,0.0,0,0.0,0.5409836065573771,0.0,1.0,0.0,0.0,0.0,none,Normal
54.36.149.97,9,0.0366673456915868,9,96.55555555555556,25206.555555555555,226859,0.0,0.0,0.0,0,0.0,1652.375,242.0,1.0,0.0,0.0,0.0,none,Normal
103.216.160.242,2,0.0081482990425748,2,76.0,12904.5,25809,0.0,0.0,0.0,0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,none,Normal
40.77.252.27,1,0.0040741495212874,1,33.0,1348.0,1348,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
138.68.80.214,1,0.0040741495212874,1,12.0,10371.0,10371,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.106.179.198,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
89.199.33.227,58,0.236300672234671,56,24.155172413793103,12129.103448275862,703488,0.0,0.0,0.0,0,0.0,11.56140350877193,0.0,1.0,0.0,0.0,0.0,none,Normal
54.36.149.25,3,0.0122224485638622,3,69.0,33387.0,100161,0.0,0.0,0.0,0,0.0,3169.0,1307.0,1.0,0.0,0.0,0.0,none,Normal
86.55.137.161,2,0.0081482990425748,2,17.0,3255.5,6511,0.0,0.0,0.0,0,0.0,22.0,22.0,1.0,0.0,0.0,0.0,none,Normal
86.55.4.105,1,0.0040741495212874,1,22.0,133.0,133,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
158.58.102.245,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,46.0,46.0,1.0,0.0,0.0,0.0,none,Normal
185.42.226.147,34,0.1385210837237726,26,26.5,4101.058823529412,139436,0.0,0.0,0.0,0,0.0,0.0909090909090909,0.0,1.0,0.0,0.0,0.0,none,Normal
54.36.148.31,4,0.0162965980851497,4,92.0,7859.25,31437,0.0,0.0,0.0,0,0.0,2522.333333333333,1475.0,1.0,0.0,0.0,0.0,none,Normal
86.107.147.16,48,0.1955591770217967,48,30.229166666666668,24248.45833333333,1163926,0.0,0.0,0.0,0,0.0,0.3191489361702128,0.0,1.0,0.0,0.0,0.0,none,Normal
5.236.128.80,1,0.0040741495212874,1,12.0,5852.0,5852,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.113.178.253,31,0.1262986351599103,31,31.06451612903226,9975.83870967742,309251,0.0,0.0,0.0,0,0.0,0.9333333333333332,0.0,1.0,0.0,0.0,0.0,none,Normal
5.120.152.49,6,0.0244448971277245,6,11.833333333333334,19864.5,119187,0.0,0.0,0.0,0,0.0,69.2,0.0,1.0,0.0,0.0,0.0,none,Normal
89.199.112.227,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
68.183.220.206,1,0.0040741495212874,1,12.0,2450.0,2450,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.211.102.45,1,0.0040741495212874,1,22.0,133.0,133,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
83.123.62.116,2,0.0081482990425748,2,12.0,5127.0,10254,0.0,0.0,0.0,0,0.0,54.0,54.0,1.0,0.0,0.0,0.0,none,Normal
37.148.21.209,8,0.0325931961702994,7,49.875,15242.375,121939,0.625,0.0,0.625,0,0.0,0.4285714285714285,0.0,1.0,0.0,0.0,0.0,R5_high_4xx_scan,Anomaly
79.132.215.131,19,0.0774088409044611,13,25.789473684210527,6590.1578947368425,125213,0.0,0.0,0.0,0,0.0,1.5555555555555556,0.0,0.7368421052631579,0.0,0.0,0.2631578947368421,none,Normal
188.158.107.131,3,0.0122224485638622,3,36.333333333333336,2818.6666666666665,8456,0.3333333333333333,0.0,0.3333333333333333,0,0.0,0.5,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,R5_high_4xx_scan,Anomaly
5.126.96.211,5,0.0203707476064371,5,12.0,3986.4,19932,0.0,0.0,0.0,0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.216.2.48,2,0.0081482990425748,1,11.0,72346.0,144692,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,none,Normal
194.225.168.173,10,0.0407414952128743,10,26.1,270.1,2701,0.0,0.0,0.0,0,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,0.0,none,Normal
5.210.31.93,3,0.0122224485638622,3,12.0,4581.666666666667,13745,0.0,0.0,0.0,0,0.0,104.0,15.0,1.0,0.0,0.0,0.0,none,Normal
89.34.48.127,1,0.0040741495212874,1,12.0,3134.0,3134,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
37.129.129.42,3,0.0122224485638622,3,12.0,3812.0,11436,0.0,0.0,0.0,0,0.0,13.0,4.0,1.0,0.0,0.0,0.0,none,Normal
54.36.149.103,5,0.0203707476064371,5,78.6,33621.6,168108,0.0,0.0,0.0,0,0.0,2092.0,515.0,1.0,0.0,0.0,0.0,none,Normal
91.251.36.111,22,0.0896312894683235,16,26.63636363636364,7237.090909090909,159216,0.0,0.0,0.0,0,0.0,0.8571428571428571,0.0,1.0,0.0,0.0,0.0,none,Normal
5.121.50.176,1,0.0040741495212874,1,12.0,7692.0,7692,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
40.77.253.249,1,0.0040741495212874,1,25.0,837.0,837,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
37.254.23.226,3,0.0122224485638622,3,12.0,3927.6666666666665,11783,0.0,0.0,0.0,0,0.0,138.5,6.0,1.0,0.0,0.0,0.0,none,Normal
54.36.148.14,7,0.028519046649012,7,92.28571428571428,23390.285714285717,163732,0.0,0.0,0.0,0,0.0,1696.3333333333333,62.0,1.0,0.0,0.0,0.0,none,Normal
2.178.21.220,158,0.6437156243634141,111,31.740506329113924,9000.322784810127,1422051,0.0189873417721519,0.0,0.0189873417721519,0,0.0,11.152866242038217,0.0,1.0,0.0,0.0,0.0,R2_high_request_rate,Anomaly
5.106.82.202,15,0.0611122428193114,15,48.0,20024.6,300369,0.0,0.0,0.0,0,0.0,1.7142857142857142,0.0,1.0,0.0,0.0,0.0,none,Normal
204.18.198.248,47,0.1914850275005092,42,36.80851063829788,10805.425531914894,507855,0.0,0.0,0.0,0,0.0,3.108695652173913,0.0,1.0,0.0,0.0,0.0,none,Normal
85.239.198.13,3,0.0122224485638622,3,12.0,4173.0,12519,0.0,0.0,0.0,0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,none,Normal
54.36.148.88,3,0.0122224485638622,3,64.33333333333333,27961.33333333333,83884,0.0,0.0,0.0,0,0.0,5173.0,3428.0,1.0,0.0,0.0,0.0,none,Normal
68.184.220.37,4,0.0162965980851497,4,12.0,44114.0,176456,0.0,0.0,0.0,0,0.0,110.66666666666669,25.0,1.0,0.0,0.0,0.0,none,Normal
167.114.241.171,1,0.0040741495212874,1,12.0,5969.0,5969,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
158.58.71.173,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.115.18.103,3,0.0122224485638622,3,11.666666666666666,2473.6666666666665,7421,0.0,0.0,0.0,0,0.0,143.0,0.0,1.0,0.0,0.0,0.0,none,Normal
46.229.161.131,13,0.0529639437767366,8,18.307692307692307,1560.7692307692307,20290,0.0,0.0,0.0,0,0.0,318.4166666666667,0.0,0.0769230769230769,0.9230769230769232,0.0,0.0,none,Normal
5.115.119.135,1,0.0040741495212874,1,76.0,16659.0,16659,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.120.99.109,47,0.1914850275005092,45,29.31914893617021,8430.170212765957,396218,0.0,0.0,0.0,0,0.0,1.0434782608695652,0.0,1.0,0.0,0.0,0.0,none,Normal
151.243.16.238,4,0.0162965980851497,4,12.0,3482.75,13931,0.0,0.0,0.0,0,0.0,108.0,2.0,1.0,0.0,0.0,0.0,none,Normal
5.117.119.88,1,0.0040741495212874,1,12.0,4167.0,4167,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
91.251.213.246,1,0.0040741495212874,1,12.0,4167.0,4167,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.123.60.156,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
40.77.192.247,1,0.0040741495212874,1,20.0,312763.0,312763,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
46.51.21.57,7,0.028519046649012,7,12.0,4518.857142857143,31632,0.0,0.0,0.0,0,0.0,127.66666666666669,0.0,1.0,0.0,0.0,0.0,none,Normal
151.238.248.189,1,0.0040741495212874,1,12.0,5852.0,5852,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
89.219.196.161,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,15.0,15.0,1.0,0.0,0.0,0.0,none,Normal
151.238.57.187,1,0.0040741495212874,1,22.0,133.0,133,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.214.109.61,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,15.0,15.0,1.0,0.0,0.0,0.0,none,Normal
5.189.153.10,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,7.0,7.0,1.0,0.0,0.0,0.0,none,Normal
51.38.125.238,3,0.0122224485638622,3,12.0,3890.6666666666665,11672,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.160.85.226,48,0.1955591770217967,48,30.229166666666668,24269.58333333333,1164940,0.0,0.0,0.0,0,0.0,0.3191489361702128,0.0,1.0,0.0,0.0,0.0,none,Normal
5.216.105.175,1,0.0040741495212874,1,10.0,45626.0,45626,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.127.24.27,1,0.0040741495212874,1,12.0,5208.0,5208,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
2.191.110.138,1,0.0040741495212874,1,12.0,4167.0,4167,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.120.232.252,1,0.0040741495212874,1,22.0,133.0,133,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.123.182.248,2,0.0081482990425748,2,181.5,10925.0,21850,0.5,0.0,0.5,0,0.0,21.0,21.0,1.0,0.0,0.0,0.0,R5_high_4xx_scan,Anomaly
5.122.241.7,2,0.0081482990425748,2,12.0,7870.0,15740,0.0,0.0,0.0,0,0.0,52.0,52.0,1.0,0.0,0.0,0.0,none,Normal
66.249.64.107,1,0.0040741495212874,1,19.0,36727.0,36727,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.120.149.72,39,0.1588918313302098,30,23.487179487179485,16419.128205128207,640346,0.0,0.0,0.0,0,0.0,1.131578947368421,0.0,1.0,0.0,0.0,0.0,none,Normal
5.200.116.252,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.125.198.179,1,0.0040741495212874,1,12.0,3836.0,3836,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
5.212.161.207,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,20.0,20.0,1.0,0.0,0.0,0.0,none,Normal
94.176.58.207,3,0.0122224485638622,2,19.33333333333333,99789.0,299367,0.0,0.0,0.0,0,0.0,144.5,2.0,1.0,0.0,0.0,0.0,none,Normal
5.124.124.147,2,0.0081482990425748,2,12.0,4071.0,8142,0.0,0.0,0.0,0,0.0,11.0,11.0,1.0,0.0,0.0,0.0,none,Normal
185.66.228.134,2,0.0081482990425748,1,10.0,9643.5,19287,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,none,Normal
217.218.6.200,139,0.566306783458953,106,33.94964028776978,10134.690647482015,1408722,0.0,0.0,0.0,0,0.0,13.27536231884058,0.0,0.9928057553956836,0.0,0.0,0.0071942446043165,R2_high_request_rate,Anomaly
5.216.193.210,2,0.0081482990425748,2,12.0,4272.0,8544,0.0,0.0,0.0,0,0.0,8.0,8.0,1.0,0.0,0.0,0.0,none,Normal
91.243.126.2,75,0.3055612140965573,59,30.186666666666667,15326.293333333331,1149472,0.0,0.0,0.0,0,0.0,3.9864864864864864,0.0,1.0,0.0,0.0,0.0,none,Normal
54.36.148.10,6,0.0244448971277245,6,53.5,28346.166666666668,170077,0.0,0.0,0.0,0,0.0,2467.2,1333.0,1.0,0.0,0.0,0.0,none,Normal
54.36.149.84,8,0.0325931961702994,8,82.5,32099.625,256797,0.0,0.0,0.0,0,0.0,2085.1428571428573,368.0,1.0,0.0,0.0,0.0,none,Normal
40.77.190.73,1,0.0040741495212874,1,33.0,3118.0,3118,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
203.146.170.148,1,0.0040741495212874,1,12.0,3975.0,3975,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
204.18.201.252,198,0.8066816052149114,134,54.30303030303031,9122.70707070707,1806296,0.0,0.0,0.0,0,0.0,42.4010152284264,0.0,0.9949494949494948,0.0,0.0,0.005050505050505,R2_high_request_rate,Anomaly
188.229.94.111,1,0.0040741495212874,1,12.0,61401.0,61401,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
37.153.179.172,32,0.1303727846811978,31,33.15625,19371.0,619872,0.03125,0.0,0.03125,0,0.0,0.8709677419354839,0.0,1.0,0.0,0.0,0.0,R5_high_4xx_scan,Anomaly
54.36.148.137,7,0.028519046649012,7,51.71428571428572,29714.85714285714,208004,0.0,0.0,0.0,0,0.0,2242.6666666666665,1206.0,1.0,0.0,0.0,0.0,none,Normal
2.180.207.166,6,0.0244448971277245,6,12.0,4507.333333333333,27044,0.0,0.0,0.0,0,0.0,34.6,1.0,1.0,0.0,0.0,0.0,none,Normal
89.34.41.46,1,0.0040741495212874,1,12.0,5852.0,5852,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,none,Normal
91.99.85.48,57,0.2322265227133836,48,28.771929824561404,20298.052631578947,1156989,0.0,0.0,0.0,0,0.0,0.6428571428571429,0.0,1.0,0.0,0.0,0.0,none,Normal
54.36.148.155,3,0.0122224485638622,3,101.33333333333331,12054.333333333334,36163,0.0,0.0,0.0,0,0.0,1343.5,104.0,1.0,0.0,0.0,0.0,none,Normal
37.98.26.55,3,0.0122224485638622,2,12.0,5438.333333333333,16315,0.0,0.0,0.0,0,0.0,83.5,1.0,1.0,0.0,0.0,0.0,none,Normal
5.124.160.123,46,0.1874108779792218,44,28.58695652173913,8504.869565217392,391224,0.0,0.0,0.0,0,0.0,1.2222222222222223,0.0,1.0,0.0,0.0,0.0,none,Normal
54.36.148.239,11,0.0448156447341617,11,67.0909090909091,30850.545454545456,339356,0.0,0.0,0.0,0,0.0,1391.5,157.0,1.0,0.0,0.0,0.0,none,Normal
194.225.167.82,15,0.0611122428193114,15,22.33333333333333,1010.5333333333332,15158,0.0,0.0,0.0,0,0.0,0.0714285714285714,0.0,1.0,0.0,0.0,0.0,none,Normal
2.147.137.228,3,0.0122224485638622,3,12.0,4516.666666666667,13550,0.0,0.0,0.0,0,0.0,57.0,6.0,1.0,0.0,0.0,0.0,none,Normal
5.212.50.142,40,0.1629659808514972,38,36.6,10972.3,438892,0.0,0.0,0.0,0,0.0,2.1538461538461537,0.0,1.0,0.0,0.0,0.0,none,Normal
83.120.171.111,3,0.0122224485638622,3,12.0,4173.0,12519,0.0,0.0,0.0,0,0.0,9.0,5.0,1.0,0.0,0.0,0.0,none,Normal
