ip,time_window,request_count,error_4xx_rate,error_5xx_rate,avg_payload_bytes,max_payload_bytes,unique_uri_count,suspicious_flag_count
10.116.12.43,2019-01-22 07:26:00,37,0.0,0.0,13934.918918918918,116467,36,0
10.124.2.223,2019-01-22 06:13:00,2,0.0,0.0,4071.0,4167,2,0
10.30.1.179,2019-01-22 07:19:00,2,0.0,0.0,2336.0,4672,2,0
10.73.253.28,2019-01-22 07:49:00,1,0.0,0.0,11386.0,11386,1,0
10.75.91.98,2019-01-22 07:48:00,89,0.0,0.0,10993.056179775282,185207,89,0
102.102.124.56,2019-01-22 06:11:00,1,0.0,0.0,17211.0,17211,1,0
102.102.124.56,2019-01-22 07:27:00,1,0.0,0.0,16230.0,16230,1,0
102.102.124.56,2019-01-22 07:30:00,1,0.0,0.0,16664.0,16664,1,0
102.102.124.56,2019-01-22 07:34:00,1,0.0,0.0,0.0,0,1,0
102.102.124.56,2019-01-22 07:35:00,1,0.0,0.0,142578.0,142578,1,0
102.102.124.56,2019-01-22 07:40:00,1,0.0,0.0,6642.0,6642,1,0
102.102.124.56,2019-01-22 07:41:00,1,0.0,0.0,120393.0,120393,1,0
103.102.221.226,2019-01-22 04:56:00,1,0.0,0.0,80951.0,80951,1,0
103.216.160.242,2019-01-22 05:22:00,2,0.0,0.0,12904.5,21689,2,0
103.231.138.17,2019-01-22 07:50:00,48,0.0,0.0,24269.583333333332,185207,48,0
103.231.138.17,2019-01-22 07:53:00,63,0.015873015873015872,0.0,12562.714285714286,116467,44,0
103.231.138.17,2019-01-22 07:54:00,2,0.0,0.0,2725.5,5451,2,0
103.233.183.10,2019-01-22 07:31:00,2,0.0,0.0,4958.0,9916,2,0
103.28.132.72,2019-01-22 06:59:00,1,0.0,0.0,3975.0,3975,1,0
103.58.111.60,2019-01-22 07:18:00,2,0.0,0.0,15454.5,30731,1,0
104.129.192.119,2019-01-22 05:02:00,2,0.0,0.0,104902.0,209626,1,0
104.129.192.119,2019-01-22 06:45:00,1,0.0,0.0,178.0,178,1,0
104.129.192.119,2019-01-22 06:46:00,1,0.0,0.0,210874.0,210874,1,0
104.156.210.196,2019-01-22 04:20:00,1,0.0,0.0,7669.0,7669,1,0
104.194.24.140,2019-01-22 07:10:00,1,0.0,0.0,12942.0,12942,1,0
104.194.24.140,2019-01-22 07:13:00,1,0.0,0.0,5208.0,5208,1,0
104.194.24.140,2019-01-22 07:16:00,1,0.0,0.0,3997.0,3997,1,0
104.194.24.147,2019-01-22 05:19:00,5,0.0,0.0,3452.4,17129,5,0
104.194.24.19,2019-01-22 07:30:00,4,0.0,0.0,6114.5,6980,4,0
104.194.24.33,2019-01-22 03:57:00,1,0.0,0.0,133.0,133,1,0
104.194.24.36,2019-01-22 06:42:00,1,0.0,0.0,133.0,133,1,0
104.194.24.36,2019-01-22 06:43:00,33,0.0,0.0,8802.60606060606,62894,33,0
