ip,timestamp,method,uri,status_code,url_length,bytes,response_bytes,decoded_uri,is_suspicious_uri,is_4xx,is_5xx,bytes_normal,bytes_error,request_interval,method_GET,method_HEAD,method_OPTIONS,method_POST
5.211.97.39,1/22/2019 3:56,GET,/settings/logo,200,14,4120,4120,/settings/logo,0,0,0,4120,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/image/62395/productModel/200x200,200,33,2661,2661,/image/62395/productmodel/200x200,0,0,0,2661,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/settings/logo,200,14,4120,4120,/settings/logo,0,0,0,4120,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/amp-helper-frame.html,200,22,133,133,/amp-helper-frame.html,0,0,0,133,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/image/788/mainSlideMobile,200,26,60795,60795,/image/788/mainslidemobile,0,0,0,60795,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/image/125/brand,200,16,2239,2239,/image/125/brand,0,0,0,2239,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/image/180/brand,200,16,2566,2566,/image/180/brand,0,0,0,2566,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/image/338/productTypeType,200,26,11,11,/image/338/producttypetype,0,0,0,11,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/image/116/productTypeType,200,26,11056,11056,/image/116/producttypetype,0,0,0,11056,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/favicon.ico,200,12,0,0,/favicon.ico,0,0,0,0,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/image/99/brand,200,15,2136,2136,/image/99/brand,0,0,0,2136,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/m/filter/b99%2Cp4510%2Cstexists%2Ct116,200,39,17946,17946,"/m/filter/b99,p4510,stexists,t116",0,0,0,17946,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/static/images/guarantees/goodShopping.png,200,42,6496,6496,/static/images/guarantees/goodshopping.png,0,0,0,6496,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.160.157.20,1/22/2019 3:56,GET,/browse/blu-ray,301,15,178,178,/browse/blu-ray,0,0,0,178,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/static/images/guarantees/warranty.png,200,38,5807,5807,/static/images/guarantees/warranty.png,0,0,0,5807,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/static/images/guarantees/fastDelivery.png,200,42,7713,7713,/static/images/guarantees/fastdelivery.png,0,0,0,7713,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/static/css/font/wyekan/font.woff,200,33,28536,28536,/static/css/font/wyekan/font.woff,0,0,0,28536,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.209.200.218,1/22/2019 3:56,GET,/static/images/guarantees/support.png,200,37,6454,6454,/static/images/guarantees/support.png,0,0,0,6454,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.78.198.52,1/22/2019 3:56,GET,/image/61936/productModel/200x200,200,33,5953,5953,/image/61936/productmodel/200x200,0,0,0,5953,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.78.198.52,1/22/2019 3:56,GET,/image/52485/productModel/200x200,200,33,5064,5064,/image/52485/productmodel/200x200,0,0,0,5064,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.78.198.52,1/22/2019 3:56,POST,/m/updateVariation,200,18,171,171,/m/updatevariation,0,0,0,171,#N/A,0,FALSE,FALSE,FALSE,TRUE
5.78.198.52,1/22/2019 3:56,POST,/m/updateVariation,200,18,171,171,/m/updatevariation,0,0,0,171,#N/A,0,FALSE,FALSE,FALSE,TRUE
5.78.198.52,1/22/2019 3:56,GET,/settings/logo,200,14,4120,4120,/settings/logo,0,0,0,4120,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.78.198.52,1/22/2019 3:56,POST,/m/updateVariation,200,18,171,171,/m/updatevariation,0,0,0,171,#N/A,0,FALSE,FALSE,FALSE,TRUE
