Index,ip,timestamp,method,uri,status_code,bytes,Label_Text,Anomaly_Score,request_count,error_4xx_rate,error_5xx_rate,avg_payload_bytes,max_payload_bytes,unique_uri_count,suspicious_flag_count
1,5.211.97.39,1/22/2019 3:56,GET,/settings/logo,200,4120,Normal,0.13470906,20,0.15,0,9902.55,92209,17,0
2,5.209.200.218,1/22/2019 3:56,GET,/image/62395/productModel/200x200,200,2661,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
3,5.209.200.218,1/22/2019 3:56,GET,/settings/logo,200,4120,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
4,5.209.200.218,1/22/2019 3:56,GET,/amp-helper-frame.html,200,133,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
5,5.209.200.218,1/22/2019 3:56,GET,/image/788/mainSlideMobile,200,60795,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
6,5.209.200.218,1/22/2019 3:56,GET,/image/125/brand,200,2239,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
7,5.209.200.218,1/22/2019 3:56,GET,/image/180/brand,200,2566,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
8,5.209.200.218,1/22/2019 3:56,GET,/image/338/productTypeType,200,11,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
9,5.209.200.218,1/22/2019 3:56,GET,/image/116/productTypeType,200,11056,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
10,5.209.200.218,1/22/2019 3:56,GET,/favicon.ico,200,0,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
11,5.209.200.218,1/22/2019 3:56,GET,/image/99/brand,200,2136,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
12,5.209.200.218,1/22/2019 3:56,GET,/m/filter/b99%2Cp4510%2Cstexists%2Ct116,200,17946,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
13,5.209.200.218,1/22/2019 3:56,GET,/static/images/guarantees/goodShopping.png,200,6496,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
14,5.160.157.20,1/22/2019 3:56,GET,/browse/blu-ray,301,178,Normal,0.312535516,2,0,0,178,178,2,0
15,5.209.200.218,1/22/2019 3:56,GET,/static/images/guarantees/warranty.png,200,5807,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
16,5.209.200.218,1/22/2019 3:56,GET,/static/images/guarantees/fastDelivery.png,200,7713,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
17,5.209.200.218,1/22/2019 3:56,GET,/static/css/font/wyekan/font.woff,200,28536,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
18,5.209.200.218,1/22/2019 3:56,GET,/static/images/guarantees/support.png,200,6454,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
19,5.78.198.52,1/22/2019 3:56,GET,/image/61936/productModel/200x200,200,5953,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
20,5.78.198.52,1/22/2019 3:56,GET,/image/52485/productModel/200x200,200,5064,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
21,5.78.198.52,1/22/2019 3:56,POST,/m/updateVariation,200,171,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
22,5.78.198.52,1/22/2019 3:56,POST,/m/updateVariation,200,171,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
23,5.78.198.52,1/22/2019 3:56,GET,/settings/logo,200,4120,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
24,5.78.198.52,1/22/2019 3:56,POST,/m/updateVariation,200,171,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
25,5.78.198.52,1/22/2019 3:56,GET,/m/product/33978/64784/%DA%AF%D9%88%D8%B4%DB%8C-%D9%85%D9%88%D8%A8%D8%A7%DB%8C%D9%84-%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%DA%AF-%D9%85%D8%AF%D9%84-Galaxy-A9-%282018%29-Dual-128GB-%28SM-A920%29,200,21931,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
26,5.78.198.52,1/22/2019 3:56,POST,/m/updateVariation,200,394,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
27,5.78.198.52,1/22/2019 3:56,POST,/m/updateVariation,200,171,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
28,5.209.200.218,1/22/2019 3:56,GET,/static/images/guarantees/bestPrice.png,200,7356,Normal,0.253642637,17,0,0,9766.176471,60795,17,0
29,5.78.198.52,1/22/2019 3:56,GET,/image/55109/productModel/200x200,200,4313,Normal,0.260801263,16,0,0,4433.8125,21931,8,0
30,17.58.102.43,1/22/2019 3:56,GET,/filter/b211%2Cb502%2Cb229%2Cb99%2Cb507%2Cb122%2Cb109%2Cb46%2Cb176%2Cb219%2Cb577%2Cb261%2Cb1,200,38542,Normal,0.312252166,3,0,0,25433.66667,38542,3,0
31,17.58.102.43,1/22/2019 3:56,GET,/filter,302,0,Normal,0.312252166,3,0,0,25433.66667,38542,3,0
32,66.249.66.194,1/22/2019 3:56,GET,/m/article/608/%D8%B9%D9%84%D8%AA-%D8%B5%D8%AF%D8%A7-%D8%AF%D8%A7%D8%AF%D9%86-%DA%AF%D8%B1%D8%AF%D9%86-%D9%88-%D8%AF%D8%B1%D9%85%D8%A7%D9%86-%D8%A2%D9%86,200,20785,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
33,66.249.66.194,1/22/2019 3:56,GET,/product/81900,404,32278,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
34,66.249.66.194,1/22/2019 3:56,GET,/m/browse/gas-heater/%D8%A8%D8%AE%D8%A7%D8%B1%DB%8C-%DA%AF%D8%A7%D8%B2%DB%8C,200,19162,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
35,2.179.141.98,1/22/2019 3:56,GET,/static/js/accordion.js,200,258,Normal,0.301917767,6,0,0,2780.666667,5409,2,0
36,66.249.66.194,1/22/2019 3:56,GET,"/filter/b41,b665,c150%7C%D8%A8%D8%AE%D8%A7%D8%B1%D9%BE%D8%B2,p56",200,34277,Normal,0.207238408,19,0.052631579,0,26156.63158,43526,19,0
37,91.99.72.15,1/22/2019 3:56,GET,/product/32257/62557/%D8%B9%D8%B7%D8%B1-%D9%88-%D8%A7%D8%AF%DA%A9%D9%84%D9%86-%D9%85%D8%B4%D8%AA%D8%B1%DA%A9-Marc-Joseph-%D9%85%D8%AF%D9%84-Vetiver-Story,200,41176,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
38,91.99.72.15,1/22/2019 3:56,GET,/product/2623,200,43555,Normal,0.264053658,12,0,0,41470.66667,43555,12,0
39,54.36.148.10,1/22/2019 3:56,GET,"/filter/p42,stexists,t51,v1|%D9%85%D8%B4%DA%A9%DB%8C%20%D8%B3%D9%81%DB%8C%D8%AF",200,32189,Normal,0.328308615,1,0,0,32189,32189,1,0
